price,title,category,stock,rating,demand
580,Product 124,Home,89,4.2,Medium
2400,Product 125,Electronics,23,4.7,High
310,Product 126,Food,176,3.7,Low
1070,Product 127,Clothing,59,4.0,Medium
630,Product 128,Home,84,4.3,Medium
2200,Product 129,Electronics,30,4.5,High
280,Product 130,Food,188,3.9,Low
1320,Product 131,Clothing,47,4.1,Medium
720,Product 132,Home,82,4.2,Medium
2500,Product 133,Electronics,18,4.8,High
210,Product 134,Food,205,3.6,Low
880,Product 135,Clothing,73,4.0,Medium
510,Product 136,Home,91,4.2,Medium
2300,Product 137,Electronics,26,4.6,High
330,Product 138,Food,174,3.7,Low
1030,Product 139,Clothing,62,4.1,Medium
690,Product 140,Home,87,4.3,Medium
2000,Product 141,Electronics,31,4.5,High
260,Product 142,Food,190,3.8,Low
1210,Product 143,Clothing,53,4.2,Medium
640,Product 144,Home,88,4.1,Medium
2450,Product 145,Electronics,20,4.7,High
240,Product 146,Food,200,3.6,Low
970,Product 147,Clothing,69,4.0,Medium
560,Product 148,Home,90,4.2,Medium
2250,Product 149,Electronics,28,4.6,High
350,Product 150,Food,178,3.7,Low
